                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.26396,                0.38856,                0.22966,                0.81712,                  0.969,                0.98495,                0.98784,                0.98025,                  0.969,                0.98495,                0.98784,                0.92039,                0.19134,                0.35725,                0.16344,                 0.7777,               0.002971,               0.002971,               0.002971
                     73,                0.25037,                0.38902,                0.20573,                0.81325,                0.97203,                0.96679,                0.98958,                0.98731,                0.97203,                0.96679,                0.98958,                0.93934,                0.16715,                0.32626,                0.17205,                0.77643,               0.002872,               0.002872,               0.002872
                     74,                0.24988,                0.36818,                0.21946,                0.81176,                0.95133,                0.98321,                0.98817,                0.98547,                0.95133,                0.98321,                0.98817,                0.92945,                0.16847,                0.33266,                0.18764,                0.77629,               0.002773,               0.002773,               0.002773
                     75,                0.26026,                0.39708,                0.22042,                0.81456,                0.95821,                0.97923,                0.98612,                0.98184,                0.95821,                0.97923,                0.98612,                0.93116,                0.17275,                0.32209,                0.18524,                0.77511,               0.002674,               0.002674,               0.002674
                     76,                0.24698,                0.38015,                0.20869,                0.80018,                0.95867,                0.97986,                0.98799,                0.98504,                0.95867,                0.97986,                0.98799,                0.93648,                0.16573,                0.31783,                0.17538,                0.77475,               0.002575,               0.002575,               0.002575
                     77,                0.23215,                0.36072,                 0.2018,                0.79712,                0.96915,                 0.9788,                 0.9887,                0.98379,                0.96915,                 0.9788,                 0.9887,                0.91943,                0.17632,                 0.3491,                0.15972,                0.77575,               0.002476,               0.002476,               0.002476
                     78,                0.24003,                0.36192,                0.20423,                0.81005,                 0.9745,                0.97721,                0.98562,                0.98222,                 0.9745,                0.97721,                0.98562,                0.92619,                0.16771,                0.33695,                0.15899,                0.77515,               0.002377,               0.002377,               0.002377
                     79,                0.24724,                0.36207,                 0.2101,                0.80845,                0.97373,                0.97953,                0.99448,                0.98982,                0.97373,                0.97953,                0.99448,                 0.9385,                0.17071,                 0.3349,                0.15476,                 0.7746,               0.002278,               0.002278,               0.002278
                     80,                 0.2409,                0.36574,                0.20318,                0.80838,                0.97626,                0.97952,                  0.993,                0.99148,                0.97626,                0.97952,                  0.993,                0.93632,                0.17068,                0.33768,                0.15383,                0.77477,               0.002179,               0.002179,               0.002179
                     81,                0.23737,                0.35055,                0.19977,                0.81221,                0.97686,                0.98061,                  0.993,                0.99173,                0.97686,                0.98061,                  0.993,                0.93539,                  0.166,                0.32932,                 0.1535,                0.77469,                0.00208,                0.00208,                0.00208
                     82,                0.24392,                0.35953,                0.20572,                0.81583,                0.97681,                0.97803,                  0.993,                0.99128,                0.97681,                0.97803,                  0.993,                0.94618,                 0.1698,                0.32554,                0.15838,                0.77558,               0.001981,               0.001981,               0.001981
                     83,                0.23761,                0.35687,                0.20243,                 0.8137,                0.97325,                0.97882,                0.99363,                0.99266,                0.97325,                0.97882,                0.99363,                0.94949,                0.16509,                0.32424,                0.15488,                0.77522,               0.001882,               0.001882,               0.001882
                     84,                0.24317,                0.36041,                0.20288,                0.81171,                0.97628,                0.98127,                0.99448,                0.99316,                0.97628,                0.98127,                0.99448,                0.94393,                0.16437,                0.32023,                0.15087,                0.77484,               0.001783,               0.001783,               0.001783
                     85,                0.24074,                0.36129,                0.20796,                0.81228,                0.97336,                0.98101,                0.99448,                0.99311,                0.97336,                0.98101,                0.99448,                0.94855,                0.16275,                0.31704,                0.15081,                 0.7742,               0.001684,               0.001684,               0.001684
                     86,                0.23511,                0.36223,                0.19984,                0.80287,                0.97592,                0.98103,                0.99448,                0.99305,                0.97592,                0.98103,                0.99448,                0.95508,                0.16553,                0.31278,                0.15018,                0.77493,               0.001585,               0.001585,               0.001585
                     87,                0.24055,                0.37951,                0.20144,                0.80511,                0.97196,                0.98173,                0.99448,                0.99309,                0.97196,                0.98173,                0.99448,                0.95522,                0.16371,                0.30301,                0.15204,                0.77406,               0.001486,               0.001486,               0.001486
                     88,                0.22753,                0.34047,                0.19986,                 0.8056,                0.97147,                0.97948,                0.99448,                0.99311,                0.97147,                0.97948,                0.99448,                0.95248,                0.16323,                0.29836,                0.15432,                0.77335,               0.001387,               0.001387,               0.001387
                     89,                0.23414,                0.34454,                0.18767,                0.80703,                0.97153,                0.97851,                0.99448,                0.99333,                0.97153,                0.97851,                0.99448,                0.95458,                0.16395,                0.29754,                 0.1558,                0.77337,               0.001288,               0.001288,               0.001288
                     90,                 0.2363,                0.36775,                0.20271,                0.81001,                0.97021,                0.98367,                0.99448,                0.99332,                0.97021,                0.98367,                0.99448,                0.95336,                0.16207,                0.29757,                 0.1502,                0.77242,               0.001189,               0.001189,               0.001189
                     91,                0.23375,                0.36447,                 0.1991,                 0.8147,                0.97168,                0.98525,                0.99403,                0.99295,                0.97168,                0.98525,                0.99403,                0.94624,                0.16312,                0.31275,                0.14646,                0.77226,                0.00109,                0.00109,                0.00109
                     92,                0.22528,                0.34139,                0.18945,                 0.8108,                0.97123,                0.98527,                0.99448,                0.99318,                0.97123,                0.98527,                0.99448,                0.94207,                0.16082,                0.31433,                 0.1455,                0.77197,               0.000991,               0.000991,               0.000991
                     93,                 0.2446,                0.36031,                0.21165,                0.80311,                0.97182,                0.98519,                0.99448,                0.99318,                0.97182,                0.98519,                0.99448,                0.94121,                0.16117,                0.31678,                0.14572,                 0.7716,               0.000892,               0.000892,               0.000892
                     94,                0.23069,                0.37629,                0.18748,                0.80178,                0.97248,                0.98513,                  0.993,                 0.9917,                0.97248,                0.98513,                  0.993,                0.93799,                0.16158,                0.31857,                0.14475,                0.77149,               0.000793,               0.000793,               0.000793
                     95,                0.23981,                0.37195,                0.20631,                0.81915,                0.97298,                0.98425,                0.98991,                0.98839,                0.97298,                0.98425,                0.98991,                0.93172,                0.16254,                0.32374,                0.14623,                 0.7712,               0.000694,               0.000694,               0.000694
                     96,                0.22866,                0.34602,                0.19417,                0.80542,                 0.9728,                0.98469,                 0.9914,                0.98989,                 0.9728,                0.98469,                 0.9914,                 0.9405,                0.16074,                0.31791,                0.14496,                0.77094,               0.000595,               0.000595,               0.000595
                     97,                 0.2394,                0.37923,                0.18886,                0.81157,                 0.9725,                0.98502,                 0.9914,                0.98991,                 0.9725,                0.98502,                 0.9914,                0.94004,                0.16061,                0.31702,                0.14504,                0.77084,               0.000496,               0.000496,               0.000496
                     98,                0.23078,                0.35149,                 0.1849,                0.80037,                0.97244,                0.98487,                 0.9914,                0.98815,                0.97244,                0.98487,                 0.9914,                0.93752,                0.16095,                0.31686,                0.14469,                0.77073,               0.000397,               0.000397,               0.000397
                     99,                0.22902,                0.34678,                 0.1861,                0.80923,                0.97228,                0.98462,                 0.9914,                 0.9881,                0.97228,                0.98462,                 0.9914,                0.94082,                0.16096,                0.31307,                0.14356,                0.77081,               0.000298,               0.000298,               0.000298
